year,State,PCE Category,PCE
1997,United States,      Clothing and footwear,908
1997,United States,      Gasoline and other energy goods,542
1997,United States,    Household consumption expenditures (for services),12561
1997,United States,      Housing and utilities,3704
1997,United States,      Health care,2901
1997,Alabama,      Clothing and footwear,813
1997,Alabama,      Gasoline and other energy goods,558
1997,Alabama,    Household consumption expenditures (for services),9900
1997,Alabama,      Housing and utilities,2510
1997,Alabama,      Health care,2856
1997,Alaska,      Clothing and footwear,838
1997,Alaska,      Gasoline and other energy goods,761
1997,Alaska,    Household consumption expenditures (for services),13456
1997,Alaska,      Housing and utilities,3832
1997,Alaska,      Health care,2804
1997,Arizona,      Clothing and footwear,765
1997,Arizona,      Gasoline and other energy goods,621
1997,Arizona,    Household consumption expenditures (for services),11944
1997,Arizona,      Housing and utilities,3511
1997,Arizona,      Health care,2393
1997,Arkansas,      Clothing and footwear,784
1997,Arkansas,      Gasoline and other energy goods,629
1997,Arkansas,    Household consumption expenditures (for services),9006
1997,Arkansas,      Housing and utilities,2547
1997,Arkansas,      Health care,2520
1997,California,      Clothing and footwear,942
1997,California,      Gasoline and other energy goods,450
1997,California,    Household consumption expenditures (for services),14039
1997,California,      Housing and utilities,4603
1997,California,      Health care,2878
1997,Colorado,      Clothing and footwear,926
1997,Colorado,      Gasoline and other energy goods,588
1997,Colorado,    Household consumption expenditures (for services),14138
1997,Colorado,      Housing and utilities,4712
1997,Colorado,      Health care,2568
1997,Connecticut,      Clothing and footwear,1139
1997,Connecticut,      Gasoline and other energy goods,703
1997,Connecticut,    Household consumption expenditures (for services),16332
1997,Connecticut,      Housing and utilities,5010
1997,Connecticut,      Health care,3566
1997,Delaware,      Clothing and footwear,957
1997,Delaware,      Gasoline and other energy goods,496
1997,Delaware,    Household consumption expenditures (for services),13119
1997,Delaware,      Housing and utilities,3926
1997,Delaware,      Health care,3048
1997,District of Columbia,      Clothing and footwear,1326
1997,District of Columbia,      Gasoline and other energy goods,1002
1997,District of Columbia,    Household consumption expenditures (for services),22383
1997,District of Columbia,      Housing and utilities,4607
1997,District of Columbia,      Health care,5203
1997,Florida,      Clothing and footwear,756
1997,Florida,      Gasoline and other energy goods,463
1997,Florida,    Household consumption expenditures (for services),13131
1997,Florida,      Housing and utilities,3825
1997,Florida,      Health care,3052
1997,Georgia,      Clothing and footwear,955
1997,Georgia,      Gasoline and other energy goods,596
1997,Georgia,    Household consumption expenditures (for services),11246
1997,Georgia,      Housing and utilities,3341
1997,Georgia,      Health care,2750
1997,Hawaii,      Clothing and footwear,815
1997,Hawaii,      Gasoline and other energy goods,425
1997,Hawaii,    Household consumption expenditures (for services),13344
1997,Hawaii,      Housing and utilities,3912
1997,Hawaii,      Health care,3158
1997,Idaho,      Clothing and footwear,630
1997,Idaho,      Gasoline and other energy goods,667
1997,Idaho,    Household consumption expenditures (for services),9785
1997,Idaho,      Housing and utilities,3116
1997,Idaho,      Health care,2152
1997,Illinois,      Clothing and footwear,980
1997,Illinois,      Gasoline and other energy goods,446
1997,Illinois,    Household consumption expenditures (for services),13298
1997,Illinois,      Housing and utilities,3924
1997,Illinois,      Health care,2871
1997,Indiana,      Clothing and footwear,795
1997,Indiana,      Gasoline and other energy goods,629
1997,Indiana,    Household consumption expenditures (for services),10815
1997,Indiana,      Housing and utilities,3058
1997,Indiana,      Health care,2690
1997,Iowa,      Clothing and footwear,739
1997,Iowa,      Gasoline and other energy goods,732
1997,Iowa,    Household consumption expenditures (for services),10789
1997,Iowa,      Housing and utilities,2876
1997,Iowa,      Health care,2698
1997,Kansas,      Clothing and footwear,739
1997,Kansas,      Gasoline and other energy goods,568
1997,Kansas,    Household consumption expenditures (for services),10477
1997,Kansas,      Housing and utilities,3080
1997,Kansas,      Health care,2785
1997,Kentucky,      Clothing and footwear,702
1997,Kentucky,      Gasoline and other energy goods,623
1997,Kentucky,    Household consumption expenditures (for services),9782
1997,Kentucky,      Housing and utilities,2580
1997,Kentucky,      Health care,2786
1997,Louisiana,      Clothing and footwear,742
1997,Louisiana,      Gasoline and other energy goods,532
1997,Louisiana,    Household consumption expenditures (for services),9900
1997,Louisiana,      Housing and utilities,2836
1997,Louisiana,      Health care,2833
1997,Maine,      Clothing and footwear,906
1997,Maine,      Gasoline and other energy goods,802
1997,Maine,    Household consumption expenditures (for services),11676
1997,Maine,      Housing and utilities,3246
1997,Maine,      Health care,2971
1997,Maryland,      Clothing and footwear,989
1997,Maryland,      Gasoline and other energy goods,512
1997,Maryland,    Household consumption expenditures (for services),13719
1997,Maryland,      Housing and utilities,4489
1997,Maryland,      Health care,3032
1997,Massachusetts,      Clothing and footwear,1176
1997,Massachusetts,      Gasoline and other energy goods,559
1997,Massachusetts,    Household consumption expenditures (for services),16450
1997,Massachusetts,      Housing and utilities,4926
1997,Massachusetts,      Health care,3943
1997,Michigan,      Clothing and footwear,880
1997,Michigan,      Gasoline and other energy goods,550
1997,Michigan,    Household consumption expenditures (for services),12430
1997,Michigan,      Housing and utilities,3480
1997,Michigan,      Health care,2870
1997,Minnesota,      Clothing and footwear,914
1997,Minnesota,      Gasoline and other energy goods,664
1997,Minnesota,    Household consumption expenditures (for services),14039
1997,Minnesota,      Housing and utilities,3641
1997,Minnesota,      Health care,3504
1997,Mississippi,      Clothing and footwear,667
1997,Mississippi,      Gasoline and other energy goods,567
1997,Mississippi,    Household consumption expenditures (for services),8275
1997,Mississippi,      Housing and utilities,2509
1997,Mississippi,      Health care,2576
1997,Missouri,      Clothing and footwear,778
1997,Missouri,      Gasoline and other energy goods,674
1997,Missouri,    Household consumption expenditures (for services),11572
1997,Missouri,      Housing and utilities,3009
1997,Missouri,      Health care,2912
1997,Montana,      Clothing and footwear,636
1997,Montana,      Gasoline and other energy goods,607
1997,Montana,    Household consumption expenditures (for services),10175
1997,Montana,      Housing and utilities,2936
1997,Montana,      Health care,2451
1997,Nebraska,      Clothing and footwear,775
1997,Nebraska,      Gasoline and other energy goods,670
1997,Nebraska,    Household consumption expenditures (for services),11413
1997,Nebraska,      Housing and utilities,3043
1997,Nebraska,      Health care,2579
1997,Nevada,      Clothing and footwear,658
1997,Nevada,      Gasoline and other energy goods,567
1997,Nevada,    Household consumption expenditures (for services),12213
1997,Nevada,      Housing and utilities,3938
1997,Nevada,      Health care,2264
1997,New Hampshire,      Clothing and footwear,1255
1997,New Hampshire,      Gasoline and other energy goods,746
1997,New Hampshire,    Household consumption expenditures (for services),14051
1997,New Hampshire,      Housing and utilities,4587
1997,New Hampshire,      Health care,3055
1997,New Jersey,      Clothing and footwear,1255
1997,New Jersey,      Gasoline and other energy goods,479
1997,New Jersey,    Household consumption expenditures (for services),15320
1997,New Jersey,      Housing and utilities,4947
1997,New Jersey,      Health care,3130
1997,New Mexico,      Clothing and footwear,656
1997,New Mexico,      Gasoline and other energy goods,628
1997,New Mexico,    Household consumption expenditures (for services),10380
1997,New Mexico,      Housing and utilities,3025
1997,New Mexico,      Health care,2475
1997,New York,      Clothing and footwear,1195
1997,New York,      Gasoline and other energy goods,371
1997,New York,    Household consumption expenditures (for services),14752
1997,New York,      Housing and utilities,4138
1997,New York,      Health care,3464
1997,North Carolina,      Clothing and footwear,862
1997,North Carolina,      Gasoline and other energy goods,598
1997,North Carolina,    Household consumption expenditures (for services),10384
1997,North Carolina,      Housing and utilities,2995
1997,North Carolina,      Health care,2655
1997,North Dakota,      Clothing and footwear,841
1997,North Dakota,      Gasoline and other energy goods,856
1997,North Dakota,    Household consumption expenditures (for services),10394
1997,North Dakota,      Housing and utilities,2499
1997,North Dakota,      Health care,2966
1997,Ohio,      Clothing and footwear,829
1997,Ohio,      Gasoline and other energy goods,513
1997,Ohio,    Household consumption expenditures (for services),11604
1997,Ohio,      Housing and utilities,3144
1997,Ohio,      Health care,2897
1997,Oklahoma,      Clothing and footwear,741
1997,Oklahoma,      Gasoline and other energy goods,620
1997,Oklahoma,    Household consumption expenditures (for services),9369
1997,Oklahoma,      Housing and utilities,2656
1997,Oklahoma,      Health care,2535
1997,Oregon,      Clothing and footwear,890
1997,Oregon,      Gasoline and other energy goods,611
1997,Oregon,    Household consumption expenditures (for services),12674
1997,Oregon,      Housing and utilities,4154
1997,Oregon,      Health care,2455
1997,Pennsylvania,      Clothing and footwear,898
1997,Pennsylvania,      Gasoline and other energy goods,518
1997,Pennsylvania,    Household consumption expenditures (for services),12654
1997,Pennsylvania,      Housing and utilities,3210
1997,Pennsylvania,      Health care,3180
1997,Rhode Island,      Clothing and footwear,742
1997,Rhode Island,      Gasoline and other energy goods,521
1997,Rhode Island,    Household consumption expenditures (for services),13140
1997,Rhode Island,      Housing and utilities,3967
1997,Rhode Island,      Health care,3434
1997,South Carolina,      Clothing and footwear,923
1997,South Carolina,      Gasoline and other energy goods,632
1997,South Carolina,    Household consumption expenditures (for services),10075
1997,South Carolina,      Housing and utilities,2819
1997,South Carolina,      Health care,2532
1997,South Dakota,      Clothing and footwear,746
1997,South Dakota,      Gasoline and other energy goods,735
1997,South Dakota,    Household consumption expenditures (for services),10749
1997,South Dakota,      Housing and utilities,2686
1997,South Dakota,      Health care,2818
1997,Tennessee,      Clothing and footwear,912
1997,Tennessee,      Gasoline and other energy goods,605
1997,Tennessee,    Household consumption expenditures (for services),10846
1997,Tennessee,      Housing and utilities,3098
1997,Tennessee,      Health care,3040
1997,Texas,      Clothing and footwear,913
1997,Texas,      Gasoline and other energy goods,556
1997,Texas,    Household consumption expenditures (for services),11860
1997,Texas,      Housing and utilities,3433
1997,Texas,      Health care,2576
1997,Utah,      Clothing and footwear,807
1997,Utah,      Gasoline and other energy goods,560
1997,Utah,    Household consumption expenditures (for services),10509
1997,Utah,      Housing and utilities,3580
1997,Utah,      Health care,2055
1997,Vermont,      Clothing and footwear,852
1997,Vermont,      Gasoline and other energy goods,810
1997,Vermont,    Household consumption expenditures (for services),12955
1997,Vermont,      Housing and utilities,3693
1997,Vermont,      Health care,2755
1997,Virginia,      Clothing and footwear,974
1997,Virginia,      Gasoline and other energy goods,598
1997,Virginia,    Household consumption expenditures (for services),12277
1997,Virginia,      Housing and utilities,3927
1997,Virginia,      Health care,2464
1997,Washington,      Clothing and footwear,821
1997,Washington,      Gasoline and other energy goods,572
1997,Washington,    Household consumption expenditures (for services),13262
1997,Washington,      Housing and utilities,4446
1997,Washington,      Health care,2685
1997,West Virginia,      Clothing and footwear,603
1997,West Virginia,      Gasoline and other energy goods,568
1997,West Virginia,    Household consumption expenditures (for services),8778
1997,West Virginia,      Housing and utilities,2219
1997,West Virginia,      Health care,2997
1997,Wisconsin,      Clothing and footwear,765
1997,Wisconsin,      Gasoline and other energy goods,594
1997,Wisconsin,    Household consumption expenditures (for services),11827
1997,Wisconsin,      Housing and utilities,3345
1997,Wisconsin,      Health care,2921
1997,Wyoming,      Clothing and footwear,687
1997,Wyoming,      Gasoline and other energy goods,1073
1997,Wyoming,    Household consumption expenditures (for services),10940
1997,Wyoming,      Housing and utilities,3089
1997,Wyoming,      Health care,2303
1998,United States,      Clothing and footwear,935
1998,United States,      Gasoline and other energy goods,480
1998,United States,    Household consumption expenditures (for services),13214
1998,United States,      Housing and utilities,3862
1998,United States,      Health care,3016
1998,Alabama,      Clothing and footwear,833
1998,Alabama,      Gasoline and other energy goods,482
1998,Alabama,    Household consumption expenditures (for services),10356
1998,Alabama,      Housing and utilities,2651
1998,Alabama,      Health care,2927
1998,Alaska,      Clothing and footwear,834
1998,Alaska,      Gasoline and other energy goods,651
1998,Alaska,    Household consumption expenditures (for services),14006
1998,Alaska,      Housing and utilities,4015
1998,Alaska,      Health care,2938
1998,Arizona,      Clothing and footwear,767
1998,Arizona,      Gasoline and other energy goods,542
1998,Arizona,    Household consumption expenditures (for services),12566
1998,Arizona,      Housing and utilities,3649
1998,Arizona,      Health care,2450
1998,Arkansas,      Clothing and footwear,817
1998,Arkansas,      Gasoline and other energy goods,568
1998,Arkansas,    Household consumption expenditures (for services),9530
1998,Arkansas,      Housing and utilities,2665
1998,Arkansas,      Health care,2656
1998,California,      Clothing and footwear,972
1998,California,      Gasoline and other energy goods,392
1998,California,    Household consumption expenditures (for services),14682
1998,California,      Housing and utilities,4810
1998,California,      Health care,2948
1998,Colorado,      Clothing and footwear,962
1998,Colorado,      Gasoline and other energy goods,513
1998,Colorado,    Household consumption expenditures (for services),14961
1998,Colorado,      Housing and utilities,4899
1998,Colorado,      Health care,2687
1998,Connecticut,      Clothing and footwear,1143
1998,Connecticut,      Gasoline and other energy goods,584
1998,Connecticut,    Household consumption expenditures (for services),17390
1998,Connecticut,      Housing and utilities,5256
1998,Connecticut,      Health care,3736
1998,Delaware,      Clothing and footwear,997
1998,Delaware,      Gasoline and other energy goods,425
1998,Delaware,    Household consumption expenditures (for services),13797
1998,Delaware,      Housing and utilities,4088
1998,Delaware,      Health care,3183
1998,District of Columbia,      Clothing and footwear,1308
1998,District of Columbia,      Gasoline and other energy goods,733
1998,District of Columbia,    Household consumption expenditures (for services),22953
1998,District of Columbia,      Housing and utilities,4801
1998,District of Columbia,      Health care,5305
1998,Florida,      Clothing and footwear,765
1998,Florida,      Gasoline and other energy goods,428
1998,Florida,    Household consumption expenditures (for services),13719
1998,Florida,      Housing and utilities,3996
1998,Florida,      Health care,3139
1998,Georgia,      Clothing and footwear,971
1998,Georgia,      Gasoline and other energy goods,532
1998,Georgia,    Household consumption expenditures (for services),11761
1998,Georgia,      Housing and utilities,3474
1998,Georgia,      Health care,2814
1998,Hawaii,      Clothing and footwear,757
1998,Hawaii,      Gasoline and other energy goods,373
1998,Hawaii,    Household consumption expenditures (for services),13746
1998,Hawaii,      Housing and utilities,4108
1998,Hawaii,      Health care,3184
1998,Idaho,      Clothing and footwear,625
1998,Idaho,      Gasoline and other energy goods,581
1998,Idaho,    Household consumption expenditures (for services),10254
1998,Idaho,      Housing and utilities,3257
1998,Idaho,      Health care,2273
1998,Illinois,      Clothing and footwear,1016
1998,Illinois,      Gasoline and other energy goods,390
1998,Illinois,    Household consumption expenditures (for services),14005
1998,Illinois,      Housing and utilities,4051
1998,Illinois,      Health care,2974
1998,Indiana,      Clothing and footwear,814
1998,Indiana,      Gasoline and other energy goods,570
1998,Indiana,    Household consumption expenditures (for services),11382
1998,Indiana,      Housing and utilities,3183
1998,Indiana,      Health care,2848
1998,Iowa,      Clothing and footwear,760
1998,Iowa,      Gasoline and other energy goods,659
1998,Iowa,    Household consumption expenditures (for services),11398
1998,Iowa,      Housing and utilities,2994
1998,Iowa,      Health care,2876
1998,Kansas,      Clothing and footwear,792
1998,Kansas,      Gasoline and other energy goods,510
1998,Kansas,    Household consumption expenditures (for services),11092
1998,Kansas,      Housing and utilities,3230
1998,Kansas,      Health care,2878
1998,Kentucky,      Clothing and footwear,731
1998,Kentucky,      Gasoline and other energy goods,556
1998,Kentucky,    Household consumption expenditures (for services),10280
1998,Kentucky,      Housing and utilities,2680
1998,Kentucky,      Health care,2913
1998,Louisiana,      Clothing and footwear,780
1998,Louisiana,      Gasoline and other energy goods,482
1998,Louisiana,    Household consumption expenditures (for services),10400
1998,Louisiana,      Housing and utilities,2965
1998,Louisiana,      Health care,2913
1998,Maine,      Clothing and footwear,928
1998,Maine,      Gasoline and other energy goods,733
1998,Maine,    Household consumption expenditures (for services),12420
1998,Maine,      Housing and utilities,3412
1998,Maine,      Health care,3181
1998,Maryland,      Clothing and footwear,1048
1998,Maryland,      Gasoline and other energy goods,442
1998,Maryland,    Household consumption expenditures (for services),14400
1998,Maryland,      Housing and utilities,4705
1998,Maryland,      Health care,3122
1998,Massachusetts,      Clothing and footwear,1209
1998,Massachusetts,      Gasoline and other energy goods,496
1998,Massachusetts,    Household consumption expenditures (for services),17441
1998,Massachusetts,      Housing and utilities,5134
1998,Massachusetts,      Health care,4194
1998,Michigan,      Clothing and footwear,895
1998,Michigan,      Gasoline and other energy goods,495
1998,Michigan,    Household consumption expenditures (for services),12980
1998,Michigan,      Housing and utilities,3635
1998,Michigan,      Health care,2933
1998,Minnesota,      Clothing and footwear,937
1998,Minnesota,      Gasoline and other energy goods,607
1998,Minnesota,    Household consumption expenditures (for services),14762
1998,Minnesota,      Housing and utilities,3788
1998,Minnesota,      Health care,3627
1998,Mississippi,      Clothing and footwear,695
1998,Mississippi,      Gasoline and other energy goods,520
1998,Mississippi,    Household consumption expenditures (for services),8697
1998,Mississippi,      Housing and utilities,2641
1998,Mississippi,      Health care,2689
1998,Missouri,      Clothing and footwear,799
1998,Missouri,      Gasoline and other energy goods,614
1998,Missouri,    Household consumption expenditures (for services),12266
1998,Missouri,      Housing and utilities,3149
1998,Missouri,      Health care,3084
1998,Montana,      Clothing and footwear,631
1998,Montana,      Gasoline and other energy goods,554
1998,Montana,    Household consumption expenditures (for services),10784
1998,Montana,      Housing and utilities,3070
1998,Montana,      Health care,2637
1998,Nebraska,      Clothing and footwear,795
1998,Nebraska,      Gasoline and other energy goods,604
1998,Nebraska,    Household consumption expenditures (for services),11973
1998,Nebraska,      Housing and utilities,3165
1998,Nebraska,      Health care,2731
1998,Nevada,      Clothing and footwear,700
1998,Nevada,      Gasoline and other energy goods,495
1998,Nevada,    Household consumption expenditures (for services),12758
1998,Nevada,      Housing and utilities,4056
1998,Nevada,      Health care,2363
1998,New Hampshire,      Clothing and footwear,1276
1998,New Hampshire,      Gasoline and other energy goods,664
1998,New Hampshire,    Household consumption expenditures (for services),14915
1998,New Hampshire,      Housing and utilities,4798
1998,New Hampshire,      Health care,3195
1998,New Jersey,      Clothing and footwear,1258
1998,New Jersey,      Gasoline and other energy goods,407
1998,New Jersey,    Household consumption expenditures (for services),16232
1998,New Jersey,      Housing and utilities,5147
1998,New Jersey,      Health care,3317
1998,New Mexico,      Clothing and footwear,660
1998,New Mexico,      Gasoline and other energy goods,571
1998,New Mexico,    Household consumption expenditures (for services),10816
1998,New Mexico,      Housing and utilities,3140
1998,New Mexico,      Health care,2513
1998,New York,      Clothing and footwear,1231
1998,New York,      Gasoline and other energy goods,319
1998,New York,    Household consumption expenditures (for services),15553
1998,New York,      Housing and utilities,4306
1998,New York,      Health care,3634
1998,North Carolina,      Clothing and footwear,884
1998,North Carolina,      Gasoline and other energy goods,524
1998,North Carolina,    Household consumption expenditures (for services),10961
1998,North Carolina,      Housing and utilities,3118
1998,North Carolina,      Health care,2744
1998,North Dakota,      Clothing and footwear,864
1998,North Dakota,      Gasoline and other energy goods,784
1998,North Dakota,    Household consumption expenditures (for services),11015
1998,North Dakota,      Housing and utilities,2616
1998,North Dakota,      Health care,3161
1998,Ohio,      Clothing and footwear,883
1998,Ohio,      Gasoline and other energy goods,461
1998,Ohio,    Household consumption expenditures (for services),12214
1998,Ohio,      Housing and utilities,3264
1998,Ohio,      Health care,3009
1998,Oklahoma,      Clothing and footwear,741
1998,Oklahoma,      Gasoline and other energy goods,547
1998,Oklahoma,    Household consumption expenditures (for services),9850
1998,Oklahoma,      Housing and utilities,2785
1998,Oklahoma,      Health care,2643
1998,Oregon,      Clothing and footwear,896
1998,Oregon,      Gasoline and other energy goods,538
1998,Oregon,    Household consumption expenditures (for services),13283
