year,State,Regional Price Parities 
2008,United States,100
2008,Alabama,87.6
2008,Alaska,106.9
2008,Arizona,100.6
2008,Arkansas,86.9
2008,California,113.1
2008,Colorado,100.4
2008,Connecticut,110.7
2008,Delaware,102
2008,District of Columbia,115.6
2008,Florida,100.8
2008,Georgia,93.5
2008,Hawaii,118.1
2008,Idaho,95.2
2008,Illinois,100.2
2008,Indiana,91.2
2008,Iowa,88.6
2008,Kansas,89.3
2008,Kentucky,88.9
2008,Louisiana,90.7
2008,Maine,98
2008,Maryland,110.3
2008,Massachusetts,108.3
2008,Michigan,95.4
2008,Minnesota,97.4
2008,Mississippi,86.4
2008,Missouri,87.8
2008,Montana,95.3
2008,Nebraska,89.7
2008,Nevada,100.8
2008,New Hampshire,107.2
2008,New Jersey,112.9
2008,New Mexico,94.4
2008,New York,115.1
2008,North Carolina,92
2008,North Dakota,88.5
2008,Ohio,90
2008,Oklahoma,88.9
2008,Oregon,98.3
2008,Pennsylvania,98.2
2008,Rhode Island,100.2
2008,South Carolina,91.1
2008,South Dakota,86.9
2008,Tennessee,90.5
2008,Texas,96.5
2008,Utah,96.8
2008,Vermont,100.4
2008,Virginia,102.8
2008,Washington,103.2
2008,West Virginia,87
2008,Wisconsin,93
2008,Wyoming,96.1
2009,United States,100
2009,Alabama,87.5
2009,Alaska,106.9
2009,Arizona,100.1
2009,Arkansas,86.6
2009,California,112.9
2009,Colorado,101.1
2009,Connecticut,110.4
2009,Delaware,103.2
2009,District of Columbia,116.4
2009,Florida,100
2009,Georgia,93.1
2009,Hawaii,117.1
2009,Idaho,94.8
2009,Illinois,100.9
2009,Indiana,91.4
2009,Iowa,89
2009,Kansas,89.6
2009,Kentucky,88.7
2009,Louisiana,91.4
2009,Maine,98.1
2009,Maryland,111.3
2009,Massachusetts,108
2009,Michigan,95.2
2009,Minnesota,97.7
2009,Mississippi,85.8
2009,Missouri,87.9
2009,Montana,94.5
2009,Nebraska,89.6
2009,Nevada,100.7
2009,New Hampshire,106.4
2009,New Jersey,113.3
2009,New Mexico,94.4
2009,New York,115.3
2009,North Carolina,92.1
2009,North Dakota,89
2009,Ohio,89.3
2009,Oklahoma,89.5
2009,Oregon,98.9
2009,Pennsylvania,98.2
2009,Rhode Island,100
2009,South Carolina,91.5
2009,South Dakota,85.8
2009,Tennessee,90.5
2009,Texas,96.4
2009,Utah,97.8
2009,Vermont,100.6
2009,Virginia,103.5
2009,Washington,103.7
2009,West Virginia,87.5
2009,Wisconsin,92.9
2009,Wyoming,96.1
2010,United States,100
2010,Alabama,87.9
2010,Alaska,105.5
2010,Arizona,98.6
2010,Arkansas,87.7
2010,California,113.6
2010,Colorado,100.9
2010,Connecticut,109.4
2010,Delaware,102.8
2010,District of Columbia,118.2
2010,Florida,99.1
2010,Georgia,92.3
2010,Hawaii,117.2
2010,Idaho,93.5
2010,Illinois,100.9
2010,Indiana,91.4
2010,Iowa,89.2
2010,Kansas,89.9
2010,Kentucky,88.6
2010,Louisiana,91.2
2010,Maine,96.8
2010,Maryland,111
2010,Massachusetts,108
2010,Michigan,94.7
2010,Minnesota,97.1
2010,Mississippi,86.7
2010,Missouri,88.3
2010,Montana,93.9
2010,Nebraska,90.3
2010,Nevada,99.9
2010,New Hampshire,106.5
2010,New Jersey,114.1
2010,New Mexico,94.6
2010,New York,115.2
2010,North Carolina,91.3
2010,North Dakota,89.2
2010,Ohio,89.8
2010,Oklahoma,89.6
2010,Oregon,98.5
2010,Pennsylvania,98.5
2010,Rhode Island,99.1
2010,South Carolina,90.4
2010,South Dakota,86.9
2010,Tennessee,90.2
2010,Texas,96.3
2010,Utah,96.9
2010,Vermont,99.5
2010,Virginia,103.1
2010,Washington,103
2010,West Virginia,88.4
2010,Wisconsin,92.8
2010,Wyoming,95.9
2011,United States,100
2011,Alabama,87.7
2011,Alaska,105.1
2011,Arizona,97.9
2011,Arkansas,87.6
2011,California,113.4
2011,Colorado,101.4
2011,Connecticut,109
2011,Delaware,101.8
2011,District of Columbia,117.8
2011,Florida,99.2
2011,Georgia,91.9
2011,Hawaii,116.9
2011,Idaho,93.3
2011,Illinois,101.1
2011,Indiana,91.7
2011,Iowa,90
2011,Kansas,90.7
2011,Kentucky,88.6
2011,Louisiana,91
2011,Maine,97.4
2011,Maryland,110.9
