id,state
s1,United States
s2,Alabama
s3,Alaska
s4,Arizona
s5,Arkansas
s6,California
s7,Colorado
s8,Connecticut
s9,Delaware
s10,District of Columbia
s11,Florida
s12,Georgia
s13,Hawaii
s14,Idaho
s15,Illinois
s16,Indiana
s17,Iowa
s18,Kansas
s19,Kentucky
s20,Louisiana
s21,Maine
s22,Maryland
s23,Massachusetts
s24,Michigan
s25,Minnesota
s26,Mississippi
s27,Missouri
s28,Montana
s29,Nebraska
s30,Nevada
s31,New Hampshire
s32,New Jersey
s33,New Mexico
s34,New York
s35,North Carolina
s36,North Dakota
s37,Ohio
s38,Oklahoma
s39,Oregon
s40,Pennsylvania
s41,Rhode Island
s42,South Carolina
s43,South Dakota
s44,Tennessee
s45,Texas
s46,Utah
s47,Vermont
s48,Virginia
s49,Washington
s50,West Virginia
s51,Wisconsin
s52,Wyoming
