year,State,State Minimum Wage,Effective Minimum Wage,Median Household Income
1990,Alabama,0,6.63,23357
1990,Alaska,7.62,7.62,39298
1990,Arizona,0,6.63,29224
1990,Arkansas,6.43,6.63,22786
1990,California,6.63,6.63,33290
1990,Colorado,5.94,6.63,30733
1990,Connecticut,7.42,7.42,38870
1990,Delaware,6.63,6.63,30804
1990,District of Columbia,6.93,6.93,27392
1990,Florida,0,6.63,26685
1990,Georgia,6.43,6.63,27561
1990,Hawaii,7.62,7.62,38921
1990,Idaho,4.55,6.63,25305
1990,Illinois,6.63,6.63,32542
1990,Indiana,3.96,6.63,26928
1990,Iowa,0,6.63,27288
1990,Kansas,3.17,6.63,29917
1990,Kentucky,6.63,6.63,24780
1990,Louisiana,0,6.63,22405
1990,Maine,7.22,7.22,27464
1990,Maryland,6.63,6.63,38857
1990,Massachusetts,7.22,7.22,36247
1990,Michigan,6.63,6.63,29937
1990,Minnesota,7.03,7.03,31465
1990,Mississippi,0,6.63,20178
1990,Missouri,0,6.63,27332
1990,Montana,6.63,6.63,23375
1990,Nebraska,6.63,6.63,27482
1990,Nevada,6.63,6.63,32023
1990,New Hampshire,7.03,7.03,40805
1990,New Jersey,6.63,6.63,38734
1990,New Mexico,6.63,6.63,25039
1990,New York,6.63,6.63,31591
1990,North Carolina,6.63,6.63,26329
1990,North Dakota,5.54,6.63,25264
1990,Ohio,4.55,6.63,30013
1990,Oklahoma,6.63,6.63,24384
1990,Oregon,6.63,6.63,29281
1990,Pennsylvania,6.63,6.63,29005
1990,Rhode Island,7.22,7.22,31968
1990,South Carolina,0,6.63,28735
1990,South Dakota,5.54,6.63,24571
1990,Tennessee,0,6.63,22592
1990,Texas,6.63,6.63,28228
1990,Utah,4.95,6.63,30142
1990,Vermont,7.03,7.03,31098
1990,Virginia,5.24,6.63,35073
1990,Washington,4.55,6.63,32112
1990,West Virginia,6.63,6.63,22137
1990,Wisconsin,6.63,6.63,30711
1990,Wyoming,3.17,6.63,29460
1991,Alabama,0,7.22,24346
1991,Alaska,8.17,8.17,40612
1991,Arizona,0,7.22,30737
1991,Arkansas,6.36,7.22,23435
1991,California,8.07,8.07,33664
1991,Colorado,5.7,7.22,31499
1991,Connecticut,8.07,8.07,42154
1991,Delaware,7.22,7.22,32585
1991,District of Columbia,7.03,7.22,29885
1991,Florida,0,7.22,27252
1991,Georgia,6.17,7.22,27212
1991,Hawaii,7.31,7.31,37246
1991,Idaho,7.22,7.22,26116
1991,Illinois,7.22,7.22,31884
1991,Indiana,6.36,7.22,27089
1991,Iowa,8.07,8.07,28553
1991,Kansas,5.03,7.22,29295
1991,Kentucky,7.22,7.22,23764
1991,Louisiana,0,7.22,25299
1991,Maine,7.31,7.31,27868
1991,Maryland,7.22,7.22,36952
1991,Massachusetts,7.12,7.22,35714
1991,Michigan,6.36,7.22,32117
1991,Minnesota,8.07,8.07,29479
1991,Mississippi,0,7.22,19475
1991,Missouri,7.22,7.22,27926
1991,Montana,7.22,7.22,24827
1991,Nebraska,6.36,7.22,29549
1991,Nevada,7.22,7.22,32937
1991,New Hampshire,7.31,7.31,36032
1991,New Jersey,7.22,7.22,40049
1991,New Mexico,6.36,7.22,26540
1991,New York,7.22,7.22,31794
1991,North Carolina,6.36,7.22,26853
1991,North Dakota,6.46,7.22,25892
1991,Ohio,7.22,7.22,29790
1991,Oklahoma,7.22,7.22,25462
1991,Oregon,9.02,9.02,30190
1991,Pennsylvania,7.22,7.22,30367
1991,Rhode Island,8.07,8.07,30836
1991,South Carolina,0,7.22,27463
1991,South Dakota,7.22,7.22,24639
1991,Tennessee,0,7.22,24453
1991,Texas,6.36,7.22,27733
1991,Utah,7.22,7.22,28016
1991,Vermont,7.31,7.31,29155
1991,Virginia,5.03,7.22,36137
1991,Washington,8.07,8.07,33970
1991,West Virginia,6.36,7.22,23147
1991,Wisconsin,7.22,7.22,31133
1991,Wyoming,3.04,7.22,29050
1992,Alabama,0,7.84,25808
1992,Alaska,8.76,8.76,41802
1992,Arizona,0,7.84,29358
1992,Arkansas,6.73,7.84,23882
1992,California,7.84,7.84,34903
1992,Colorado,5.53,7.84,32484
1992,Connecticut,7.87,7.87,40841
1992,Delaware,7.84,7.84,35678
1992,District of Columbia,7.19,7.84,30247
1992,Florida,0,7.84,27349
1992,Georgia,5.99,7.84,28797
1992,Hawaii,7.1,7.84,42113
1992,Idaho,7.84,7.84,27704
1992,Illinois,7.84,7.84,31551
1992,Indiana,6.18,7.84,28530
1992,Iowa,8.57,8.57,28743
1992,Kansas,4.89,7.84,30346
1992,Kentucky,7.84,7.84,23485
1992,Louisiana,0,7.84,25439
1992,Maine,7.84,7.84,29617
1992,Maryland,7.84,7.84,37203
1992,Massachusetts,7.84,7.84,36359
1992,Michigan,6.18,7.84,32267
1992,Minnesota,7.84,7.84,30981
1992,Mississippi,0,7.84,20570
1992,Missouri,7.84,7.84,27361
